"Who stole the cookies from the cookie jar?","0","1"
"What is the next great Kickstarter project?","0","1"
"What's the next superhero?","0","1"
"____ 2012.","0","1"
"____.","0","1"
"Personals ad: Seeking a female who doesn't mind ____, might also be willing to try a male if they're ____.","0","2"
"I tell everyone I'm not a furry, but I've drawn a lot of ____.","0","1"
"Why can't I sleep at night?","0","1"
"What's that smell?","0","1"
"And that's how Equestria was made!","0","1"
"What's that sound?","0","1"
"What ended my last relationship?","0","1"
"What is Batman's guilty pleasure?","0","1"
"What's a girl's best friend?","0","1"
"What does Dick Cheney prefer?","0","1"
"What's the most emo?","0","1"
"What are my parents hiding from me?","0","1"
"What will always get you laid?","0","1"
"What did I bring back from Mexico?","0","1"
"What don't you want to find in your Chinese food?","0","1"
"What will I bring back in time to convince people that I am a powerful wizard?","0","1"
"How am I maintaining my relationship status?","0","1"
"What gives me uncontrollable gas?","0","1"
"What do old people smell like? ","0","1"
"What's my secret power?","0","1"
"What's there a ton of in heaven?","0","1"
"What would grandma find disturbing, yet oddly charming?","0","1"
"What did the U.S. airdrop to the children of Afghanistan?","0","1"
"What helps Obama unwind?","0","1"
"What did Vin Diesel eat for dinner?","0","1"
"Why am I sticky?","0","1"
"What gets better with age?","0","1"
"What's the crustiest?","0","1"
"What's Teach for America using to inspire inner city students to succeed?","0","1"
"Make a haiku.","2","3"
"Why do I hurt all over?","0","1"
"What am I giving up for Lent?","0","1"
"What's my anti-drug?","0","1"
"What never fails to liven up the party?","0","1"
"What's the new fad diet?","0","1"
"I got 99 problems but ____ ain't one.","0","1"
"TSA guidelines now prohibit ____ on airplanes.","0","1"
"MTV's new reality show features eight washed-up celebrities living with ____.","0","1"
"I drink to forget ____.","0","1"
"I'm sorry, Professor, but I couldn't complete my homework because of ____.","0","1"
"During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ____.","0","1"
"Alternative medicine is now embracing the curative powers of ____.","0","1"
"Anthropologists have recently discovered a primitive tribe that worships ____.","0","1"
"It's a pity that kids these days are all getting involved with ____.","0","1"
"____. That's how I want to die.","0","1"
"In the new Disney Channel Original Movie, Hannah Montana struggles with ____ for the first time.","0","1"
"I wish I hadn't lost the instruction manual for ____.","0","1"
"Instead of coal, Santa now gives the bad children ____.","0","1"
"In 1,000 years, when paper money is but a distant memory, ____ will be our currency.","0","1"
"A romantic, candlelit dinner would be incomplete without ____.","0","1"
"Next from J.K. Rowling: Harry Potter and the Chamber of ____.","0","1"
"____. Betcha can't have just one!","0","1"
"White people like ____.","0","1"
"____. High five, bro.","0","1"
"During sex, I like to think about ____.","0","1"
"BILLY MAYS HERE FOR ____.","0","1"
"When I'm in prison, I'll have ____ smuggled in.","0","1"
"When I am the President of the United States, I will create the Department of ____.","0","1"
"Major League Baseball has banned ____ for giving players an unfair advantage.","0","1"
"When I am a billionare, I shall erect a 50-foot statue to commemorate ____.","0","1"
"____. It's a trap!","0","1"
"Coming to Broadway this season, ____: The Musical.","0","1"
"After Hurricane Katrina, Sean Penn brought ____ to all the people of New Orleans.","0","1"
"Due to a PR fiasco, Walmart no longer offers ____.","0","1"
"But before I kill you, Mr. Bond, I must show you ____.","0","1"
"When Pharaoh remained unmoved, Moses called down a plague of ____.","0","1"
"The class field trip was completely ruined by ____.","0","1"
"In Michael Jackson's final moments, he thought about ____.","0","1"
"In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on ____.","0","1"
"Studies show that lab rats navigate mazes 50% faster after being exposed to ____.","0","1"
"I do not know with which weapons World War III will be fought, but World War IV will be fought with ____.","0","1"
"Life was difficult for cavemen before ____.","0","1"
"____: Good to the last drop.","0","1"
"____: kid-tested, mother-approved.","0","1"
